Index,Destination,Coverage,Datatype,DestCode,Origin,OrigCode,y1990,y1995,y2000,y2005,y2010,y2015,y2020,y2024,DestCodeA3,OrigCodeA3,DestContinent,DestPopulation,OrigContinent,OrigPopulation
6560,Eritrea,,I R,232,India,356,39,54,70,83,99,119,103,92,ERI,IND,Africa,3569,Asia,1457435
6563,Eritrea,,I R,232,UK,826,34,38,43,44,47,56,48,43,ERI,GBR,Africa,3569,Europe,69353
6565,Eritrea,,I R,232,France,250,108,159,211,283,360,436,380,341,ERI,FRA,Africa,3569,Europe,66601
6566,Eritrea,,I R,232,Others,2003,1082,1370,1657,1687,1828,2213,1963,1764,ERI,###,Africa,3569,World,0
6585,Ethiopia,,B R,231,Burundi,108,0,10,16,74,97,106,131,130,ETH,BDI,Africa,133765,Africa,14221
6586,Ethiopia,,B R,231,Djibouti,262,975,18802,2300,796,788,761,729,1364,ETH,DJI,Africa,133765,Africa,1177
6587,Ethiopia,,B R,231,Eritrea,232,64266,49258,27869,19447,40794,139524,169990,176860,ETH,ERI,Africa,133765,Africa,3569
6588,Ethiopia,,B R,231,Kenya,404,190,8600,2703,596,4350,4422,5372,5564,ETH,KEN,Africa,133765,Africa,56981
6589,Ethiopia,,B R,231,Somalia,706,395548,319976,177388,37643,86677,263015,204246,389246,ETH,SOM,Africa,133765,Africa,19332
6590,Ethiopia,,B R,231,South Sudan,728,349048,64067,72662,79562,33673,281162,365470,443743,ETH,SSD,Africa,133765,Africa,12067
6591,Ethiopia,,B R,231,Uganda,800,0,110,94,62,36,24,18,18,ETH,UGA,Africa,133765,Africa,50698
6593,Ethiopia,,B R,231,DR Congo,180,0,40,50,183,466,1026,999,1041,ETH,COD,Africa,133765,Africa,111036
6595,Ethiopia,,B R,231,Sudan,729,59262,10273,12364,13973,5440,38743,44791,88958,ETH,SDN,Africa,133765,Africa,50849
6598,Ethiopia,,B R,231,China,156,350,104,1762,4400,34059,54628,38672,26824,ETH,CHN,Africa,133765,Asia,1417734
6600,Ethiopia,,B R,231,Syria,760,0,0,0,0,0,16,420,679,ETH,SYR,Africa,133765,Asia,25171
6601,Ethiopia,,B R,231,Yemen,887,0,33,67,15,11,734,2110,2503,ETH,YEM,Africa,133765,Asia,41179
6602,Ethiopia,,B R,231,Others,2003,5686,7439,14166,14022,20687,13213,42222,31525,ETH,###,Africa,133765,World,0
6620,Kenya,,B R,404,Burundi,108,99,147,198,2045,4256,8312,15098,14270,KEN,BDI,Africa,56981,Africa,14221
6621,Kenya,,B R,404,Eritrea,232,0,66,961,696,1686,2127,1851,1749,KEN,ERI,Africa,56981,Africa,3569
6622,Kenya,,B R,404,Ethiopia,231,26695,29521,20846,20917,35309,36889,32115,30353,KEN,ETH,Africa,56981,Africa,133765
6623,Kenya,,B R,404,Mozambique,508,1043,980,535,523,589,601,523,494,KEN,MOZ,Africa,56981,Africa,35134
6624,Kenya,,B R,404,Rwanda,646,3874,5861,3273,4059,6201,6330,5510,5208,KEN,RWA,Africa,56981,Africa,14407
6625,Kenya,,B R,404,Somalia,706,7875,172164,159197,208156,392063,488470,425284,401953,KEN,SOM,Africa,56981,Africa,19332
6626,Kenya,,B R,404,South Sudan,728,5801,53996,81156,62546,53218,95765,121553,114885,KEN,SSD,Africa,56981,Africa,12067
6627,Kenya,,B R,404,Uganda,800,83355,134005,261491,291776,326978,333789,290597,274655,KEN,UGA,Africa,56981,Africa,50698
6628,Kenya,,B R,404,Tanzania,834,66464,73119,51289,42082,39120,39935,34767,32860,KEN,TZA,Africa,56981,Africa,69542
6630,Kenya,,B R,404,DR Congo,180,394,391,672,2749,9133,24738,43577,41186,KEN,COD,Africa,56981,Africa,111036
6632,Kenya,,B R,404,Sudan,729,814,41215,56360,76711,26998,10266,9926,9381,KEN,SDN,Africa,56981,Africa,50849
6634,Kenya,,B R,404,Namibia,516,119,112,61,60,67,68,58,55,KEN,NAM,Africa,56981,Africa,3062
6635,Kenya,,B R,404,South Africa,710,197,185,101,98,110,112,96,91,KEN,ZAF,Africa,56981,Africa,64386
6636,Kenya,,B R,404,Others,2003,101359,106983,71712,60936,59197,79484,69192,65396,KEN,###,Africa,56981,World,0
6657,Madagascar,,C R,450,Comoros,174,8179,7242,8050,8910,9876,10953,12153,13199,MDG,COM,Africa,32352,Africa,875
6660,Madagascar,,C R,450,China,156,1481,1312,1458,1609,1784,1979,2193,2382,MDG,CHN,Africa,32352,Asia,1417734
6662,Madagascar,,C R,450,India,356,1171,1037,1152,1282,1425,1581,1751,1902,MDG,IND,Africa,32352,Asia,1457435
6665,Madagascar,,C R,450,France,250,6672,5908,6567,7269,8066,8950,9922,10776,MDG,FRA,Africa,32352,Europe,66601
6666,Madagascar,,C R,450,Others,2003,6414,5678,6314,6988,7754,8612,9544,10366,MDG,###,Africa,32352,World,0
6687,Malawi,,B R,454,Burundi,108,705,5896,5677,5410,5314,6659,10079,9834,MWI,BDI,Africa,21934,Africa,14221
6688,Malawi,,B R,454,Mozambique,508,1075410,60845,58576,55817,54826,47220,40131,39156,MWI,MOZ,Africa,21934,Africa,35134
6689,Malawi,,B R,454,Rwanda,646,2249,5138,4947,4714,6482,5582,6280,6128,MWI,RWA,Africa,21934,Africa,14407
6690,Malawi,,B R,454,Somalia,706,211,61,59,147,87,74,102,100,MWI,SOM,Africa,21934,Africa,19332
6691,Malawi,,B R,454,Tanzania,834,3279,10676,10278,9794,9620,8285,7041,6870,MWI,TZA,Africa,21934,Africa,69542
6692,Malawi,,B R,454,Zambia,894,5637,47571,45797,43640,42865,36918,31375,30614,MWI,ZMB,Africa,21934,Africa,21612
6693,Malawi,,B R,454,Zimbabwe,716,3851,41271,39732,37861,37189,32030,27221,26561,MWI,ZWE,Africa,21934,Africa,16790
6695,Malawi,,B R,454,Congo,178,735,1567,1509,1438,1413,1216,1033,1008,MWI,COG,Africa,21934,Africa,6408
6696,Malawi,,B R,454,DR Congo,180,1338,2481,2389,2368,4841,11896,27773,27099,MWI,COD,Africa,21934,Africa,111036
6698,Malawi,,B R,454,South Africa,710,1276,9179,8837,8421,8272,7124,6054,5907,MWI,ZAF,Africa,21934,Africa,64386
6701,Malawi,,B R,454,India,356,1362,2683,2583,2462,2419,2083,1770,1727,MWI,IND,Africa,21934,Asia,1457435
6704,Malawi,,B R,454,UK,826,769,1639,1578,1504,1478,1272,1081,1055,MWI,GBR,Africa,21934,Europe,69353
6705,Malawi,,B R,454,Others,2003,30902,52617,50658,48085,42916,36969,31422,30660,MWI,###,Africa,21934,World,0
6727,Mauritius,,C,480,Madagascar,450,56,242,563,1236,1979,2277,2301,2321,MUS,MDG,Africa,1270,Africa,32352
6728,Mauritius,,C,480,Seychelles,690,43,39,58,80,108,124,124,125,MUS,SYC,Africa,1270,Africa,132
6730,Mauritius,,C,480,South Africa,710,184,192,307,412,541,622,627,632,MUS,ZAF,Africa,1270,Africa,64386
6733,Mauritius,,C,480,China,156,346,3273,8024,5151,2564,2951,2981,3007,MUS,CHN,Africa,1270,Asia,1417734
6734,Mauritius,,C,480,Hong Kong,344,91,45,25,21,20,23,22,22,MUS,HKG,Africa,1270,Asia,7397
6735,Mauritius,,C,480,Japan,392,23,14,15,11,8,9,8,8,MUS,JPN,Africa,1270,Asia,123435
6737,Mauritius,,C,480,Bangladesh,50,71,150,313,3672,7235,8327,8415,8488,MUS,BGD,Africa,1270,Asia,174617
6738,Mauritius,,C,480,India,356,515,1483,3278,5252,7517,8651,8778,8855,MUS,IND,Africa,1270,Asia,1457435
6739,Mauritius,,C,480,Pakistan,586,1,3,7,82,163,187,187,189,MUS,PAK,Africa,1270,Asia,253203
6740,Mauritius,,C,480,Sri Lanka,144,9,19,42,496,979,1126,1137,1147,MUS,LKA,Africa,1270,Asia,23169
6742,Mauritius,,C,480,Malaysia,458,36,33,49,49,53,61,60,61,MUS,MYS,Africa,1270,Asia,35771
6745,Mauritius,,C,480,Russia,643,34,28,38,39,43,49,48,48,MUS,RUS,Africa,1270,Europe,144435
6747,Mauritius,,C,480,Ireland,372,30,14,6,24,44,50,49,49,MUS,IRL,Africa,1270,Europe,5283
6748,Mauritius,,C,480,UK,826,694,450,458,415,395,454,458,462,MUS,GBR,Africa,1270,Europe,69353
6750,Mauritius,,C,480,Italy,380,38,56,106,113,127,146,146,147,MUS,ITA,Africa,1270,Europe,59251
6751,Mauritius,,C,480,Spain,724,15,7,3,13,24,27,26,26,MUS,ESP,Africa,1270,Europe,47905
6753,Mauritius,,C,480,Belgium,56,76,35,15,57,103,118,118,119,MUS,BEL,Africa,1270,Europe,11750
6754,Mauritius,,C,480,France,250,788,696,993,1119,1308,1505,1519,1532,MUS,FRA,Africa,1270,Europe,66601
6755,Mauritius,,C,480,Germany,276,57,70,124,118,119,136,136,137,MUS,DEU,Africa,1270,Europe,84409
6756,Mauritius,,C,480,Switzerland,756,66,30,13,51,92,105,104,105,MUS,CHE,Africa,1270,Europe,8946
6758,Mauritius,,C,480,Canada,124,36,27,34,32,32,36,35,35,MUS,CAN,Africa,1270,North America,39946
6759,Mauritius,,C,480,USA,840,37,30,41,40,43,49,48,48,MUS,USA,Africa,1270,North America,346374
6760,Mauritius,,C,480,Others,2003,367,557,1031,1164,1339,1552,1566,1579,MUS,###,Africa,1270,World,0
6778,Mayotte,1,B R,175,Comoros,174,10288,20154,36203,49545,56520,63225,86652,111502,MYT,COM,Africa,332,Africa,875
6779,Mayotte,1,B R,175,Madagascar,450,1086,2061,3669,4755,5230,5850,8017,10316,MYT,MDG,Africa,332,Africa,32352
6782,Mayotte,1,B R,175,France,250,1359,2791,5080,7789,9498,10624,14560,18736,MYT,FRA,Africa,332,Europe,66601
6783,Mayotte,1,B R,175,Others,2003,2496,1310,522,1087,1509,1687,2311,2974,MYT,###,Africa,332,World,0
6805,Mozambique,,B R,508,Burundi,108,615,846,985,1354,1817,5954,8388,8742,MOZ,BDI,Africa,35134,Africa,14221
6806,Mozambique,,B R,508,Kenya,404,9087,12499,14539,19963,22749,23584,24779,25824,MOZ,KEN,Africa,35134,Africa,56981
6807,Mozambique,,B R,508,Malawi,454,22975,31600,36755,50465,57509,59620,62643,65284,MOZ,MWI,Africa,35134,Africa,21934
6808,Mozambique,,B R,508,Seychelles,690,6212,8545,9939,13647,15553,16123,16940,17655,MOZ,SYC,Africa,35134,Africa,132
6809,Mozambique,,B R,508,Tanzania,834,2722,3744,4355,5981,6816,7067,7423,7736,MOZ,TZA,Africa,35134,Africa,69542
6810,Mozambique,,B R,508,Zambia,894,1948,2680,3118,4281,4880,5059,5315,5539,MOZ,ZMB,Africa,35134,Africa,21612
6811,Mozambique,,B R,508,Zimbabwe,716,35711,49118,57131,78441,89389,92671,97379,101486,MOZ,ZWE,Africa,35134,Africa,16790
6813,Mozambique,,B R,508,Angola,24,14337,19720,22937,31493,35889,37206,39092,40741,MOZ,AGO,Africa,35134,Africa,38459
6814,Mozambique,,B R,508,DR Congo,180,2315,3185,3705,5089,5799,9958,11458,11941,MOZ,COD,Africa,35134,Africa,111036
6816,Mozambique,,B R,508,Lesotho,426,2875,3955,4601,6319,7201,7465,7842,8173,MOZ,LSO,Africa,35134,Africa,2350
6817,Mozambique,,B R,508,South Africa,710,7397,10175,11835,16250,18519,19198,20171,21022,MOZ,ZAF,Africa,35134,Africa,64386
6819,Mozambique,,B R,508,Cabo Verde,132,2500,3439,4001,5495,6262,6491,6819,7107,MOZ,CPV,Africa,35134,Africa,526
6820,Mozambique,,B R,508,Nigeria,566,1964,2702,3143,4316,4919,5100,5356,5582,MOZ,NGA,Africa,35134,Africa,235088
6823,Mozambique,,B R,508,India,356,900,1238,1441,1980,2256,2338,2455,2559,MOZ,IND,Africa,35134,Asia,1457435
6824,Mozambique,,B R,508,Pakistan,586,516,711,828,1139,1298,1345,1412,1472,MOZ,PAK,Africa,35134,Asia,253203
6827,Mozambique,,B R,508,Portugal,620,1667,2294,2669,3665,4178,4331,4549,4741,MOZ,PRT,Africa,35134,Europe,10420
6828,Mozambique,,B R,508,Others,2003,8591,11805,13720,18816,21437,18284,16829,17539,MOZ,###,Africa,35134,World,0
6848,Réunion,2,B,638,Comoros,174,441,952,1509,1878,2143,2215,2294,2360,REU,COM,Africa,881,Africa,875
6849,Réunion,2,B,638,Madagascar,450,3339,7218,11431,14218,16210,16763,17363,17859,REU,MDG,Africa,881,Africa,32352
6850,Réunion,2,B,638,Mauritius,480,1008,2181,3455,4294,4893,5059,5240,5390,REU,MUS,Africa,881,Africa,1270
6851,Réunion,2,B,638,Mayotte,175,1800,3893,6162,6410,6294,6507,6740,6933,REU,MYT,Africa,881,Africa,332
6854,Réunion,2,B,638,France,250,37516,50738,66309,75927,81294,84056,87069,89556,REU,FRA,Africa,881,Europe,66601
6855,Réunion,2,B,638,Others,2003,13106,12177,11812,12349,12195,12609,13063,13436,REU,###,Africa,881,World,0
6870,Rwanda,,B R,646,Burundi,108,26393,37445,56107,68762,64931,134501,131063,130912,RWA,BDI,Africa,14407,Africa,14221
6871,Rwanda,,B R,646,Kenya,404,955,1455,2218,2617,2598,2581,2575,2572,RWA,KEN,Africa,14407,Africa,56981
6872,Rwanda,,B R,646,Uganda,800,34106,48486,79241,93430,92808,92195,92061,91955,RWA,UGA,Africa,14407,Africa,50698
6873,Rwanda,,B R,646,Tanzania,834,15825,24121,36766,43346,43060,42776,42713,42664,RWA,TZA,Africa,14407,Africa,69542
6875,Rwanda,,B R,646,DR Congo,180,62526,89770,163420,197717,207397,233744,236657,236385,RWA,COD,Africa,14407,Africa,111036
6876,Rwanda,,B R,646,Others,2003,20219,14458,9324,17315,16107,8850,8838,8828,RWA,###,Africa,14407,World,0
6901,Seychelles,,B,690,Kenya,404,25,178,331,348,366,409,415,422,SYC,KEN,Africa,132,Africa,56981
6902,Seychelles,,B,690,Madagascar,450,34,279,525,620,716,801,816,829,SYC,MDG,Africa,132,Africa,32352
6903,Seychelles,,B,690,Mauritius,480,258,383,509,502,495,554,564,573,SYC,MUS,Africa,132,Africa,1270
6904,Seychelles,,B,690,Somalia,706,11,13,15,36,58,64,63,64,SYC,SOM,Africa,132,Africa,19332
6905,Seychelles,,B,690,Uganda,800,5,5,6,15,25,28,27,27,SYC,UGA,Africa,132,Africa,50698
6907,Seychelles,,B,690,South Africa,710,83,224,366,297,228,255,258,262,SYC,ZAF,Africa,132,Africa,64386
6909,Seychelles,,B,690,Nigeria,566,25,32,40,81,122,136,137,139,SYC,NGA,Africa,132,Africa,235088
6912,Seychelles,,B,690,China,156,58,80,103,279,456,510,519,527,SYC,CHN,Africa,132,Asia,1417734
6914,Seychelles,,B,690,Bangladesh,50,11,14,17,107,197,220,223,227,SYC,BGD,Africa,132,Asia,174617
6915,Seychelles,,B,690,India,356,1276,1651,2026,3907,5788,6482,6628,6735,SYC,IND,Africa,132,Asia,1457435
6916,Seychelles,,B,690,Maldives,462,2,1,1,17,34,38,37,38,SYC,MDV,Africa,132,Asia,529
6917,Seychelles,,B,690,Nepal,524,27,33,39,98,157,175,177,180,SYC,NPL,Africa,132,Asia,29628
6918,Seychelles,,B,690,Pakistan,586,23,17,11,16,22,24,23,23,SYC,PAK,Africa,132,Asia,253203
6919,Seychelles,,B,690,Sri Lanka,144,316,391,467,500,534,598,609,619,SYC,LKA,Africa,132,Asia,23169
6921,Seychelles,,B,690,Indonesia,360,2,114,226,176,126,141,143,145,SYC,IDN,Africa,132,Asia,284622
6922,Seychelles,,B,690,Philippines,608,61,229,398,514,630,705,718,730,SYC,PHL,Africa,132,Asia,116316
6923,Seychelles,,B,690,Thailand,764,5,237,469,341,214,239,242,246,SYC,THA,Africa,132,Asia,71647
6926,Seychelles,,B,690,Russia,643,79,45,11,48,86,96,97,99,SYC,RUS,Africa,132,Europe,144435
6928,Seychelles,,B,690,UK,826,274,223,173,216,259,290,295,300,SYC,GBR,Africa,132,Europe,69353
6930,Seychelles,,B,690,Italy,380,22,29,37,73,109,122,123,125,SYC,ITA,Africa,132,Europe,59251
6931,Seychelles,,B,690,Spain,724,11,10,10,16,22,24,23,23,SYC,ESP,Africa,132,Europe,47905
6933,Seychelles,,B,690,Belgium,56,32,26,20,27,34,38,37,38,SYC,BEL,Africa,132,Europe,11750
6934,Seychelles,,B,690,France,250,180,167,154,184,214,239,242,246,SYC,FRA,Africa,132,Europe,66601
6935,Seychelles,,B,690,Germany,276,40,48,57,66,76,85,85,86,SYC,DEU,Africa,132,Europe,84409
6938,Seychelles,,B,690,Cuba,192,20,26,33,36,39,43,42,43,SYC,CUB,Africa,132,North America,10959
6941,Seychelles,,B,690,Australia,36,67,59,51,48,46,51,50,51,SYC,AUS,Africa,132,Oceania,26845
6942,Seychelles,,B,690,Others,2003,774,634,479,429,367,424,457,464,SYC,###,Africa,132,World,0
6955,Somalia,,I R,706,Eritrea,232,0,0,0,18,37,34,36,48,SOM,ERI,Africa,19332,Africa,3569
6956,Somalia,,I R,706,Ethiopia,231,460000,18044,555,1148,26183,13641,21764,28964,SOM,ETH,Africa,19332,Africa,133765
6959,Somalia,,I R,706,Yemen,887,0,0,0,0,0,5883,13285,17680,SOM,YEM,Africa,19332,Asia,41179
6960,Somalia,,I R,706,Others,2003,18294,1483,19542,19602,21886,21432,23505,31280,SOM,###,Africa,19332,World,0
6979,South Sudan,,B R,728,Eritrea,232,0,0,0,0,3372,3318,3402,3524,SSD,ERI,Africa,12067,Africa,3569
6980,South Sudan,,B R,728,Ethiopia,231,0,0,0,0,8509,12786,13110,13582,SSD,ETH,Africa,12067,Africa,133765
6981,South Sudan,,B R,728,Kenya,404,0,0,0,0,9298,9558,9800,10153,SSD,KEN,Africa,12067,Africa,56981
6982,South Sudan,,B R,728,Uganda,800,0,0,0,0,125406,145607,151003,156437,SSD,UGA,Africa,12067,Africa,50698
6984,South Sudan,,B R,728,Central African Republic,140,0,0,0,0,5166,4574,4690,4859,SSD,CAF,Africa,12067,Africa,5421
6985,South Sudan,,B R,728,Chad,148,0,0,0,0,5327,5184,5315,5506,SSD,TCD,Africa,12067,Africa,20728
6986,South Sudan,,B R,728,DR Congo,180,0,0,0,0,60795,87755,93982,97364,SSD,COD,Africa,12067,Africa,111036
6988,South Sudan,,B R,728,Egypt,818,0,0,0,0,5243,5145,5275,5465,SSD,EGY,Africa,12067,Africa,117498
6989,South Sudan,,B R,728,Libya,434,0,0,0,0,162,153,156,162,SSD,LBY,Africa,12067,Africa,7420
6990,South Sudan,,B R,728,Sudan,729,0,0,0,0,0,562381,587668,608817,SSD,SDN,Africa,12067,Africa,50849
6992,South Sudan,,B R,728,Mali,466,0,0,0,0,178,203,208,215,SSD,MLI,Africa,12067,Africa,24835
6993,South Sudan,,B R,728,Nigeria,566,0,0,0,0,3467,3537,3626,3756,SSD,NGA,Africa,12067,Africa,235088
6996,South Sudan,,B R,728,India,356,0,0,0,0,1364,1414,1449,1501,SSD,IND,Africa,12067,Asia,1457435
6997,South Sudan,,B R,728,Others,2003,652365,652365,652365,652365,2445,2497,2568,2660,SSD,###,Africa,12067,World,0
7018,Uganda,,B R,800,Burundi,108,57759,59232,60828,51836,36948,36471,53927,42181,UGA,BDI,Africa,50698,Africa,14221
7019,Uganda,,B R,800,Eritrea,232,0,0,28,148,5278,9379,15472,41731,UGA,ERI,Africa,50698,Africa,3569
7020,Uganda,,B R,800,Ethiopia,231,0,22,236,340,1770,2364,3098,10059,UGA,ETH,Africa,50698,Africa,133765
7021,Uganda,,B R,800,Kenya,404,22693,23568,24442,24645,24321,23998,23675,23416,UGA,KEN,Africa,50698,Africa,56981
7022,Uganda,,B R,800,Rwanda,646,257379,187709,104439,92150,84421,80434,76677,79149,UGA,RWA,Africa,50698,Africa,14407
7023,Uganda,,B R,800,Somalia,706,1095,4352,5982,8458,22748,41622,53018,65070,UGA,SOM,Africa,50698,Africa,19332
7024,Uganda,,B R,800,South Sudan,728,0,0,0,0,0,179082,875322,923658,UGA,SSD,Africa,50698,Africa,12067
7025,Uganda,,B R,800,Tanzania,834,57459,51666,45872,40687,35977,31267,26558,22790,UGA,TZA,Africa,50698,Africa,69542
7027,Uganda,,B R,800,DR Congo,180,48439,57379,59982,80038,161865,299572,526428,637206,UGA,COD,Africa,50698,Africa,111036
7029,Uganda,,B R,800,Sudan,729,57470,210776,240251,265185,89542,89403,107636,141990,UGA,SDN,Africa,50698,Africa,50849
7032,Uganda,,B R,800,UK,826,597,953,1310,1285,963,641,320,62,UGA,GBR,Africa,50698,Europe,69353
7034,Uganda,,B R,800,Canada,124,146,196,247,265,259,253,246,241,UGA,CAN,Africa,50698,North America,39946
7035,Uganda,,B R,800,USA,840,263,492,721,899,1037,1174,1312,1422,UGA,USA,Africa,50698,North America,346374
7038,Uganda,,B R,800,Australia,36,137,137,137,146,163,180,197,210,UGA,AUS,Africa,50698,Oceania,26845
7039,Uganda,,B R,800,Others,2003,57133,69729,79821,71514,49763,27341,12152,68574,UGA,###,Africa,50698,World,0
7061,Tanzania,,B R,834,Burundi,108,232210,310644,628609,461225,111256,175325,222115,241069,TZA,BDI,Africa,69542,Africa,14221
7062,Tanzania,,B R,834,Comoros,174,343,458,487,551,567,596,533,578,TZA,COM,Africa,69542,Africa,875
7063,Tanzania,,B R,834,Kenya,404,33613,31740,30272,29010,27864,27247,24274,26345,TZA,KEN,Africa,69542,Africa,56981
7064,Tanzania,,B R,834,Malawi,454,7218,7121,7098,7048,7011,6907,6153,6678,TZA,MWI,Africa,69542,Africa,21934
7065,Tanzania,,B R,834,Mauritius,480,113,151,161,181,187,192,170,185,TZA,MUS,Africa,69542,Africa,1270
7066,Tanzania,,B R,834,Mozambique,508,144353,57995,46739,36267,28177,14651,13052,14166,TZA,MOZ,Africa,69542,Africa,35134
7067,Tanzania,,B R,834,Rwanda,646,68609,600656,49366,13231,5246,581,517,561,TZA,RWA,Africa,69542,Africa,14407
7068,Tanzania,,B R,834,Seychelles,690,214,286,305,345,355,374,332,360,TZA,SYC,Africa,69542,Africa,132
7069,Tanzania,,B R,834,Somalia,706,467,4247,3655,3424,2273,2967,2642,2867,TZA,SOM,Africa,69542,Africa,19332
7070,Tanzania,,B R,834,Uganda,800,19706,15546,12286,9484,6938,4857,4326,4695,TZA,UGA,Africa,69542,Africa,50698
7071,Tanzania,,B R,834,Zambia,894,18188,14501,13584,11845,10265,8573,7637,8289,TZA,ZMB,Africa,69542,Africa,21612
7072,Tanzania,,B R,834,Zimbabwe,716,488,652,693,753,809,852,759,824,TZA,ZWE,Africa,69542,Africa,16790
7074,Tanzania,,B R,834,Angola,24,717,958,1018,1153,1186,1249,1115,1210,TZA,AGO,Africa,69542,Africa,38459
7075,Tanzania,,B R,834,Congo,178,15007,22000,23123,23777,24354,25017,22287,24189,TZA,COG,Africa,69542,Africa,6408
7076,Tanzania,,B R,834,DR Congo,180,19354,21834,112286,150345,62386,59508,70736,76772,TZA,COD,Africa,69542,Africa,111036
7078,Tanzania,,B R,834,Botswana,72,80,108,116,132,136,141,125,136,TZA,BWA,Africa,69542,Africa,2542
7079,Tanzania,,B R,834,Eswatini,748,51,69,74,83,86,88,77,84,TZA,SWZ,Africa,69542,Africa,1249
