Index,Destination,Coverage,Datatype,DestCode,Origin,OrigCode,y1990,y1995,y2000,y2005,y2010,y2015,y2020,y2024,DestCodeA3,OrigCodeA3,DestContinent,DestPopulation,OrigContinent,OrigPopulation
6459,Burundi,,B R,108,Kenya,404,186,216,202,502,847,1032,1226,1377,BDI,KEN,Africa,14221,Africa,56981
6460,Burundi,,B R,108,Rwanda,646,221943,160197,66415,61104,54794,64363,76567,85969,BDI,RWA,Africa,14221,Africa,14407
6461,Burundi,,B R,108,Uganda,800,1833,1546,949,805,731,891,1058,1188,BDI,UGA,Africa,14221,Africa,50698
6462,Burundi,,B R,108,Tanzania,834,11912,9780,5692,13732,22974,28008,33318,37409,BDI,TZA,Africa,14221,Africa,69542
6464,Burundi,,B R,108,DR Congo,180,36654,41447,37951,99099,147611,175768,199585,224091,BDI,COD,Africa,14221,Africa,111036
6467,Burundi,,B R,108,Belgium,56,642,621,475,466,497,605,718,806,BDI,BEL,Africa,14221,Europe,11750
6468,Burundi,,B R,108,France,250,321,310,237,232,248,302,358,402,BDI,FRA,Africa,14221,Europe,66601
6469,Burundi,,B R,108,Others,2003,59619,40736,13707,16834,19619,27330,31937,35859,BDI,###,Africa,14221,World,0
6487,Comoros,,B,174,Kenya,404,87,86,85,81,77,76,74,74,COM,KEN,Africa,875,Africa,56981
6488,Comoros,,B,174,Madagascar,450,10810,10701,10595,10142,9689,9651,9605,9569,COM,MDG,Africa,875,Africa,32352
6489,Comoros,,B,174,Réunion,638,957,948,938,898,857,850,845,842,COM,REU,Africa,875,Africa,881
6490,Comoros,,B,174,Tanzania,834,163,162,160,153,146,145,143,142,COM,TZA,Africa,875,Africa,69542
6493,Comoros,,B,174,France,250,543,538,532,509,486,482,479,477,COM,FRA,Africa,875,Europe,66601
6494,Comoros,,B,174,Others,2003,1519,1504,1489,1426,1363,1351,1350,1345,COM,###,Africa,875,World,0
6507,Djibouti,,B R,262,Ethiopia,231,13405,10943,11023,10103,11222,11676,12578,13235,DJI,ETH,Africa,1177,Africa,133765
6508,Djibouti,,B R,262,Somalia,706,101216,82625,83230,76278,84725,88152,94976,99940,DJI,SOM,Africa,1177,Africa,19332
6511,Djibouti,,B R,262,Yemen,887,289,236,238,219,242,6157,5322,5600,DJI,YEM,Africa,1177,Asia,41179
6512,Djibouti,,B R,262,Others,2003,7311,5970,6016,5510,6118,6366,6862,7221,DJI,###,Africa,1177,World,0
6536,Eritrea,,I R,232,Burundi,108,618,1141,1663,1189,864,1044,913,820,ERI,BDI,Africa,3569,Africa,14221
6537,Eritrea,,I R,232,Comoros,174,27,60,93,125,159,192,166,149,ERI,COM,Africa,3569,Africa,875
6538,Eritrea,,I R,232,Ethiopia,231,1284,687,91,1554,90,108,94,84,ERI,ETH,Africa,3569,Africa,133765
6539,Eritrea,,I R,232,Kenya,404,187,202,217,248,290,351,305,274,ERI,KEN,Africa,3569,Africa,56981
6540,Eritrea,,I R,232,Malawi,454,114,228,343,487,637,771,673,604,ERI,MWI,Africa,3569,Africa,21934
6541,Eritrea,,I R,232,Mozambique,508,3537,2218,896,876,913,1105,966,867,ERI,MOZ,Africa,3569,Africa,35134
6542,Eritrea,,I R,232,Rwanda,646,991,703,414,385,385,467,407,365,ERI,RWA,Africa,3569,Africa,14407
6543,Eritrea,,I R,232,Somalia,706,1438,1607,1775,3657,4691,2485,2156,1937,ERI,SOM,Africa,3569,Africa,19332
6544,Eritrea,,I R,232,South Sudan,728,933,1109,1284,1214,1229,1487,1300,1167,ERI,SSD,Africa,3569,Africa,12067
6545,Eritrea,,I R,232,Uganda,800,175,682,1190,1187,1257,1521,1331,1195,ERI,UGA,Africa,3569,Africa,50698
6546,Eritrea,,I R,232,Tanzania,834,218,296,375,394,434,525,459,412,ERI,TZA,Africa,3569,Africa,69542
6547,Eritrea,,I R,232,Zambia,894,91,121,151,172,199,241,209,188,ERI,ZMB,Africa,3569,Africa,21612
6548,Eritrea,,I R,232,Zimbabwe,716,82,125,168,215,268,324,282,253,ERI,ZWE,Africa,3569,Africa,16790
6550,Eritrea,,I R,232,Angola,24,247,433,620,424,286,346,301,270,ERI,AGO,Africa,3569,Africa,38459
6551,Eritrea,,I R,232,DR Congo,180,407,816,1224,1273,1392,1685,1474,1324,ERI,COD,Africa,3569,Africa,111036
6553,Eritrea,,I R,232,Sudan,729,131,155,180,170,172,208,181,163,ERI,SDN,Africa,3569,Africa,50849
6555,Eritrea,,I R,232,South Africa,710,97,143,189,136,101,122,106,95,ERI,ZAF,Africa,3569,Africa,64386
6558,Eritrea,,I R,232,China,156,8,53,98,102,112,135,117,105,ERI,CHN,Africa,3569,Asia,1417734
