Index,Country,Code,Alpha3,Population
15560,France,250,FRA,66601
15637,Germany,276,DEU,84409
15714,Liechtenstein,438,LIE,40
15791,Luxembourg,442,LUX,677
15868,Monaco,492,MCO,38
15945,Netherlands,528,NLD,18292
16022,Switzerland,756,CHE,8946
16254,Anguilla,660,AIA,15
16331,Antigua and Barbuda,28,ATG,94
16408,Aruba,533,ABW,108
16485,Bahamas,44,BHS,402
16562,Barbados,52,BRB,283
16639,"Bonaire, Sint Eustatius and Saba",535,BES,31
16716,British Virgin Islands,92,VGB,40
16793,Cayman Islands,136,CYM,75
16870,Cuba,192,CUB,10959
16947,Curaçao,531,CUW,186
17024,Dominica,212,DMA,66
17101,Dominican Republic,214,DOM,11475
17178,Grenada,308,GRD,117
17255,Guadeloupe,312,GLP,374
17332,Haiti,332,HTI,11840
17409,Jamaica,388,JAM,2839
17486,Martinique,474,MTQ,342
17563,Montserrat,500,MSR,4
17640,Puerto Rico,630,PRI,3240
17717,Saint Barthélemy,652,BLM,11
17794,Saint Kitts and Nevis,659,KNA,47
17871,Saint Lucia,662,LCA,180
17948,Saint Martin (French part),663,MAF,25
18025,Saint Vincent and the Grenadines,670,VCT,100
18102,Sint Maarten (Dutch part),534,SXM,44
18179,Trinidad and Tobago,780,TTO,1510
18256,Turks and Caicos Islands,796,TCA,47
18333,United States Virgin Islands,850,VIR,85
18487,Belize,84,BLZ,420
18564,Costa Rica,188,CRI,5142
18641,El Salvador,222,SLV,6352
18718,Guatemala,320,GTM,18548
18795,Honduras,340,HND,10916
18872,Mexico,484,MEX,131414
18949,Nicaragua,558,NIC,6962
19026,Panama,591,PAN,4544
19180,Argentina,32,ARG,45775
19257,Bolivia (Plurinational State of),68,BOL,12498
19334,Brazil,76,BRA,212423
19411,Chile,152,CHL,19815
19488,Colombia,170,COL,53163
19565,Ecuador,218,ECU,18213
19642,Falkland Islands (Malvinas),238,FLK,3
19719,French Guiana,254,GUF,311
19796,Guyana,328,GUY,834
19873,Paraguay,600,PRY,6972
19950,Peru,604,PER,34401
20027,Suriname,740,SUR,637
20104,Uruguay,858,URY,3386
20181,Venezuela (Bolivarian Republic of),862,VEN,28460
20335,Bermuda,60,BMU,65
20412,Canada,124,CAN,39946
20489,Greenland,304,GRL,56
20566,Saint Pierre and Miquelon,666,SPM,6
20643,United States of America,840,USA,346374
20874,Australia,36,AUS,26845
20951,New Zealand,554,NZL,5234
21105,Fiji,242,FJI,931
21182,New Caledonia,540,NCL,294
21259,Papua New Guinea,598,PNG,10670
21336,Solomon Islands,90,SLB,829
21413,Vanuatu,548,VUT,331
21567,Guam,316,GUM,168
21644,Kiribati,296,KIR,136
21721,Marshall Islands,584,MHL,37
21798,Micronesia (Fed. States of),583,FSM,113
21875,Nauru,520,NRU,12
21952,Northern Mariana Islands,580,MNP,44
22029,Palau,585,PLW,18
22183,American Samoa,16,ASM,46
22260,Cook Islands,184,COK,13
22337,French Polynesia,258,PYF,282
22414,Niue,570,NIU,2
22491,Samoa,882,WSM,219
22568,Tokelau,772,TKL,3
22645,Tonga,776,TON,104
22722,Tuvalu,798,TUV,10
22799,Wallis and Futuna Islands,876,WLF,11
