Index,Country,Code,Alpha3,Population,Continent
16254,Anguilla,660,AIA,15,North America
16331,Antigua and Barbuda,28,ATG,94,North America
16408,Aruba,533,ABW,108,North America
16485,Bahamas,44,BHS,402,North America
16562,Barbados,52,BRB,283,North America
16639,Bonaire,535,BES,31,North America
16716,British Virgin Islands,92,VGB,40,North America
16793,Cayman Islands,136,CYM,75,North America
16870,Cuba,192,CUB,10959,North America
16947,Curaçao,531,CUW,186,North America
17024,Dominica,212,DMA,66,North America
17101,Dominican Republic,214,DOM,11475,North America
17178,Grenada,308,GRD,117,North America
17255,Guadeloupe,312,GLP,374,North America
17332,Haiti,332,HTI,11840,North America
17409,Jamaica,388,JAM,2839,North America
17486,Martinique,474,MTQ,342,North America
17563,Montserrat,500,MSR,4,North America
17640,Puerto Rico,630,PRI,3240,North America
17717,Saint Barthélemy,652,BLM,11,North America
17794,Saint Kitts and Nevis,659,KNA,47,North America
17871,Saint Lucia,662,LCA,180,North America
17948,Saint Martin (French part),663,MAF,25,North America
18025,Saint Vincent and the Grenadines,670,VCT,100,North America
18102,Sint Maarten (Dutch part),534,SXM,44,North America
18179,Trinidad and Tobago,780,TTO,1510,North America
18256,Turks and Caicos Islands,796,TCA,47,North America
18333,US Virgin Islands,850,VIR,85,North America
18487,Belize,84,BLZ,420,North America
18564,Costa Rica,188,CRI,5142,North America
18641,El Salvador,222,SLV,6352,North America
18718,Guatemala,320,GTM,18548,North America
18795,Honduras,340,HND,10916,North America
18872,Mexico,484,MEX,131414,North America
18949,Nicaragua,558,NIC,6962,North America
19026,Panama,591,PAN,4544,North America
19180,Argentina,32,ARG,45775,South America
19257,Bolivia,68,BOL,12498,South America
19334,Brazil,76,BRA,212423,South America
19411,Chile,152,CHL,19815,South America
19488,Colombia,170,COL,53163,South America
19565,Ecuador,218,ECU,18213,South America
19642,Falkland Islands (Malvinas),238,FLK,3,South America
19719,French Guiana,254,GUF,311,South America
19796,Guyana,328,GUY,834,South America
19873,Paraguay,600,PRY,6972,South America
19950,Peru,604,PER,34401,South America
20027,Suriname,740,SUR,637,South America
20104,Uruguay,858,URY,3386,South America
20181,Venezuela,862,VEN,28460,South America
20335,Bermuda,60,BMU,65,North America
20412,Canada,124,CAN,39946,North America
20489,Greenland,304,GRL,56,North America
20566,Saint Pierre and Miquelon,666,SPM,6,North America
20643,USA,840,USA,346374,North America
20874,Australia,36,AUS,26845,Oceania
20951,New Zealand,554,NZL,5234,Oceania
21105,Fiji,242,FJI,931,Oceania
21182,New Caledonia,540,NCL,294,Oceania
21259,Papua New Guinea,598,PNG,10670,Oceania
21336,Solomon Islands,90,SLB,829,Oceania
21413,Vanuatu,548,VUT,331,Oceania
21567,Guam,316,GUM,168,Oceania
21644,Kiribati,296,KIR,136,Oceania
21721,Marshall Islands,584,MHL,37,Oceania
21798,Fed. States of Micronesia,583,FSM,113,Oceania
21875,Nauru,520,NRU,12,Oceania
21952,Northern Mariana Islands,580,MNP,44,Oceania
22029,Palau,585,PLW,18,Oceania
22183,American Samoa,16,ASM,46,Oceania
22260,Cook Islands,184,COK,13,Oceania
22337,French Polynesia,258,PYF,282,Oceania
22414,Niue,570,NIU,2,Oceania
22491,Samoa,882,WSM,219,Oceania
22568,Tokelau,772,TKL,3,Oceania
22645,Tonga,776,TON,104,Oceania
22722,Tuvalu,798,TUV,10,Oceania
22799,Wallis and Futuna Islands,876,WLF,11,Oceania
