Index,Country,Code,Alpha3,Population,Continent
2701,Burundi,108,BDI,14221,Africa
2778,Comoros,174,COM,875,Africa
2855,Djibouti,262,DJI,1177,Africa
2932,Eritrea,232,ERI,3569,Africa
3009,Ethiopia,231,ETH,133765,Africa
3086,Kenya,404,KEN,56981,Africa
3163,Madagascar,450,MDG,32352,Africa
3240,Malawi,454,MWI,21934,Africa
3317,Mauritius,480,MUS,1270,Africa
3394,Mayotte,175,MYT,332,Africa
3471,Mozambique,508,MOZ,35134,Africa
3548,Réunion,638,REU,881,Africa
3625,Rwanda,646,RWA,14407,Africa
3702,Seychelles,690,SYC,132,Africa
3779,Somalia,706,SOM,19332,Africa
3856,South Sudan,728,SSD,12067,Africa
3933,Uganda,800,UGA,50698,Africa
4010,Tanzania,834,TZA,69542,Africa
4087,Zambia,894,ZMB,21612,Africa
4164,Zimbabwe,716,ZWE,16790,Africa
4318,Angola,24,AGO,38459,Africa
4395,Cameroon,120,CMR,29500,Africa
4472,Central African Republic,140,CAF,5421,Africa
4549,Chad,148,TCD,20728,Africa
4626,Congo,178,COG,6408,Africa
4703,DR Congo,180,COD,111036,Africa
4780,Equatorial Guinea,226,GNQ,1915,Africa
4857,Gabon,266,GAB,2566,Africa
4934,Sao Tome and Principe,678,STP,238,Africa
5088,Algeria,12,DZA,47132,Africa
5165,Egypt,818,EGY,117498,Africa
5242,Libya,434,LBY,7420,Africa
5319,Morocco,504,MAR,38261,Africa
5396,Sudan,729,SDN,50849,Africa
5473,Tunisia,788,TUN,12314,Africa
5550,Western Sahara,732,ESH,596,Africa
5704,Botswana,72,BWA,2542,Africa
5781,Eswatini,748,SWZ,1249,Africa
5858,Lesotho,426,LSO,2350,Africa
5935,Namibia,516,NAM,3062,Africa
6012,South Africa,710,ZAF,64386,Africa
6166,Benin,204,BEN,14638,Africa
6243,Burkina Faso,854,BFA,23812,Africa
6320,Cabo Verde,132,CPV,526,Africa
6397,Côte d'Ivoire,384,CIV,32321,Africa
6474,Gambia,270,GMB,2791,Africa
6551,Ghana,288,GHA,34746,Africa
6628,Guinea,324,GIN,14928,Africa
6705,Guinea-Bissau,624,GNB,2225,Africa
6782,Liberia,430,LBR,5672,Africa
6859,Mali,466,MLI,24835,Africa
6936,Mauritania,478,MRT,5242,Africa
7013,Niger,562,NER,27472,Africa
7090,Nigeria,566,NGA,235088,Africa
7167,Saint Helena,654,SHN,5,Africa
7244,Senegal,686,SEN,18716,Africa
7321,Sierra Leone,694,SLE,8731,Africa
7398,Togo,768,TGO,9618,Africa
7629,Kazakhstan,398,KAZ,20721,Asia
7706,Kyrgyzstan,417,KGZ,7241,Asia
7783,Tajikistan,762,TJK,10690,Asia
7860,Turkmenistan,795,TKM,7558,Asia
7937,Uzbekistan,860,UZB,36713,Asia
8091,China,156,CHN,1417734,Asia
8168,Hong Kong,344,HKG,7397,Asia
8245,Macao,446,MAC,722,Asia
8322,Taiwan,158,TWN,23164,Asia
8399,North Korea,408,PRK,26537,Asia
8476,Japan,392,JPN,123435,Asia
8553,Mongolia,496,MNG,3497,Asia
8630,Republic of Korea,410,KOR,51697,Asia
8784,Afghanistan,4,AFG,43250,Asia
8861,Bangladesh,50,BGD,174617,Asia
8938,Bhutan,64,BTN,794,Asia
9015,India,356,IND,1457435,Asia
9092,Iran,364,IRN,92021,Asia
9169,Maldives,462,MDV,529,Asia
9246,Nepal,524,NPL,29628,Asia
9323,Pakistan,586,PAK,253203,Asia
9400,Sri Lanka,144,LKA,23169,Asia
9554,Brunei,96,BRN,465,Asia
9631,Cambodia,116,KHM,17745,Asia
9708,Indonesia,360,IDN,284622,Asia
9785,Laos,418,LAO,7822,Asia
9862,Malaysia,458,MYS,35771,Asia
9939,Myanmar,104,MMR,54680,Asia
10016,Philippines,608,PHL,116316,Asia
10093,Singapore,702,SGP,5852,Asia
10170,Thailand,764,THA,71647,Asia
10247,Timor-Leste,626,TLS,1410,Asia
10324,Vietnam,704,VNM,101300,Asia
10478,Armenia,51,ARM,2963,Asia
10555,Azerbaijan,31,AZE,10368,Asia
10632,Bahrain,48,BHR,1626,Asia
10709,Cyprus,196,CYP,1365,Asia
10786,Georgia,268,GEO,3808,Asia
10863,Iraq,368,IRQ,46526,Asia
10940,Israel,376,ISR,9452,Asia
11017,Jordan,400,JOR,11575,Asia
11094,Kuwait,414,KWT,4985,Asia
11171,Lebanon,422,LBN,5826,Asia
11248,Oman,512,OMN,5398,Asia
11325,Qatar,634,QAT,3084,Asia
11402,Saudi Arabia,682,SAU,34264,Asia
11479,Palestine,275,PSE,5540,Asia
11556,Syria,760,SYR,25171,Asia
11633,Türkiye,792,TUR,87576,Asia
11710,UAE,784,ARE,11215,Asia
11787,Yemen,887,YEM,41179,Asia
12018,Belarus,112,BLR,9027,Europe
12095,Bulgaria,100,BGR,6737,Europe
12172,Czechia,203,CZE,10680,Europe
12249,Hungary,348,HUN,9663,Europe
12326,Poland,616,POL,38367,Europe
12403,Moldova,498,MDA,3017,Europe
12480,Romania,642,ROU,18962,Europe
12557,Russia,643,RUS,144435,Europe
12634,Slovakia,703,SVK,5494,Europe
12711,Ukraine,804,UKR,38279,Europe
12865,Denmark,208,DNK,5991,Europe
12942,Estonia,233,EST,1354,Europe
13019,Faroe Islands,234,FRO,56,Europe
13096,Finland,246,FIN,5623,Europe
13173,Guernsey,831,GGY,64,Europe
13250,Iceland,352,ISL,396,Europe
13327,Ireland,372,IRL,5283,Europe
13404,Isle of Man,833,IMN,84,Europe
13481,Jersey,832,JEY,104,Europe
13558,Latvia,428,LVA,1864,Europe
13635,Lithuania,440,LTU,2851,Europe
13712,Norway,578,NOR,5604,Europe
13789,Sweden,752,SWE,10633,Europe
13866,UK,826,GBR,69353,Europe
14020,Albania,8,ALB,2782,Europe
14097,Andorra,20,AND,82,Europe
14174,Bosnia and Herzegovina,70,BIH,3153,Europe
14251,Croatia,191,HRV,3861,Europe
14328,Gibraltar,292,GIB,40,Europe
14405,Greece,300,GRC,9959,Europe
14482,Holy See,336,VAT,1,Europe
14559,Italy,380,ITA,59251,Europe
14636,Kosovo,412,XKX,1679,Europe
14713,Malta,470,MLT,543,Europe
14790,Montenegro,499,MNE,638,Europe
14867,North Macedonia,807,MKD,1819,Europe
14944,Portugal,620,PRT,10420,Europe
15021,San Marino,674,SMR,34,Europe
15098,Serbia,688,SRB,6714,Europe
15175,Slovenia,705,SVN,2118,Europe
15252,Spain,724,ESP,47905,Europe
15406,Austria,40,AUT,9117,Europe
15483,Belgium,56,BEL,11750,Europe
15560,France,250,FRA,66601,Europe
15637,Germany,276,DEU,84409,Europe
15714,Liechtenstein,438,LIE,40,Europe
15791,Luxembourg,442,LUX,677,Europe
15868,Monaco,492,MCO,38,Europe
15945,Netherlands,528,NLD,18292,Europe
16022,Switzerland,756,CHE,8946,Europe
